Weekday,Start Time,End Time,Role,Event Name,Event Abbreviation,Event Type,Event Description
Wednesday,12:30 PM,1:30 PM,CN B,No Duty,ND,free,Time without duty but still actively participating in the session.
Wednesday,1:30 PM,3:30 PM,CN B,Class Support,CS,duty,A specific duty or task: Class Support.
Wednesday,3:30 PM,4:30 PM,CN B,Time-off,OF,break,Break time: Time-off.
Wednesday,4:30 PM,10:15 PM,CN B,No Duty,ND,free,Time without duty but still actively participating in the session.
Wednesday,10:15 PM,10:30 PM,CN B,Lights out,LO,duty,A specific duty or task: Lights out.
Thursday,6:00 AM,7:10 AM,CN B,No Duty,ND,free,Time without duty but still actively participating in the session.
Thursday,7:10 AM,7:20 AM,CN B,AC/CN Meeting,AM,meeting,"A scheduled meeting for coordination, planning, or discussion."
Thursday,7:20 AM,1:30 PM,CN B,No Duty,ND,free,Time without duty but still actively participating in the session.
Thursday,1:30 PM,3:30 PM,CN B,Time-off,OF,break,Break time: Time-off.
Thursday,3:30 PM,5:00 PM,CN B,Flex Time Support,FT,duty,A specific duty or task: Flex Time Support.
Thursday,5:00 PM,10:15 PM,CN B,No Duty,ND,free,Time without duty but still actively participating in the session.
Thursday,10:15 PM,10:30 PM,CN B,Lights Out,LO,duty,A specific duty or task: Lights Out.
Friday,6:00 AM,7:10 AM,CN B,No Duty,ND,free,Time without duty but still actively participating in the session.
Friday,7:10 AM,7:20 AM,CN B,AC/CN Meeting,AM,meeting,"A scheduled meeting for coordination, planning, or discussion."
Friday,7:20 AM,9:00 AM,CN B,No Duty,ND,free,Time without duty but still actively participating in the session.
Friday,9:00 AM,10:30 AM,CN B,Time-off,OF,break,Break time: Time-off.
Friday,10:30 AM,12:30 PM,CN B,No Duty,ND,free,Time without duty but still actively participating in the session.
Friday,12:30 PM,1:30 PM,CN B,Time-off,OF,break,Break time: Time-off.
Friday,1:30 PM,8:00 PM,CN B,No Duty,ND,free,Time without duty but still actively participating in the session.
Friday,8:00 PM,8:45 PM,CN B,Time-off,OF,break,Break time: Time-off.
Friday,8:45 PM,10:15 PM,CN B,No Duty,ND,free,Time without duty but still actively participating in the session.
Friday,10:15 PM,10:30 PM,CN B,Lights Out,LO,duty,A specific duty or task: Lights Out.
Friday,10:30 PM,10:50 PM,CN B,Night Watch,NW,duty,A specific duty or task: Night Watch.
Saturday,6:30 AM,7:30 AM,CN B,No Duty,ND,free,Time without duty but still actively participating in the session.
Saturday,7:30 AM,7:45 AM,CN B,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Saturday,7:45 AM,8:30 AM,CN B,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,6:00 PM,7:00 PM,CN C,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,7:00 PM,7:50 PM,CN C,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Sunday,7:50 PM,8:00 PM,CN C,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,8:00 PM,8:15 PM,CN C,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Sunday,8:15 PM,9:15 PM,CN C,Interviews,IN,free,Time without duty but still actively participating in the session.
Monday,7:30 AM,8:30 AM,CN C,No Duty,ND,free,Time without duty but still actively participating in the session.
Monday,8:30 AM,9:15 AM,CN C,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Monday,9:15 AM,10:00 AM,CN C,Interviews,IN,free,Time without duty but still actively participating in the session.
Monday,10:00 AM,11:00 AM,CN C,No Duty,ND,free,Time without duty but still actively participating in the session.
Monday,11:00 AM,12:00 PM,CN C,Time-off,OF,break,Break time: Time-off.
Monday,12:00 PM,1:00 PM,CN C,Check-in #2,C2,duty,A specific duty or task: Check-in #2.
Monday,1:00 PM,6:00 PM,CN C,No Duty,ND,free,Time without duty but still actively participating in the session.
Monday,6:00 PM,7:00 PM,CN C,Time-off,OF,break,Break time: Time-off.
Monday,7:00 PM,10:15 PM,CN C,No Duty,ND,free,Time without duty but still actively participating in the session.
Monday,10:15 PM,10:30 PM,CN C,Lights Out,LO,duty,A specific duty or task: Lights Out.
Tuesday,6:00 AM,7:10 AM,CN C,No Duty,ND,free,Time without duty but still actively participating in the session.
Tuesday,7:10 AM,7:20 AM,CN C,AC/CN Meeting,AM,meeting,"A scheduled meeting for coordination, planning, or discussion."
Tuesday,7:20 AM,9:00 AM,CN C,No Duty,ND,free,Time without duty but still actively participating in the session.
Tuesday,9:00 AM,10:30 AM,CN C,Time-off,OF,break,Break time: Time-off.
Tuesday,10:30 AM,11:30 AM,CN C,CN Coordination Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Tuesday,11:30 AM,12:30 PM,CN C,Class Support,CS,duty,A specific duty or task: Class Support.
Tuesday,12:30 PM,1:30 PM,CN C,No Duty,ND,free,Time without duty but still actively participating in the session.
Tuesday,1:30 PM,2:30 PM,CN C,Class Support,CS,duty,A specific duty or task: Class Support.
Tuesday,2:30 PM,3:30 PM,CN C,Time-off,OF,break,Break time: Time-off.
Tuesday,3:30 PM,5:00 PM,CN C,No Duty,ND,free,Time without duty but still actively participating in the session.
Tuesday,5:00 PM,6:00 PM,CN C,Time-off,OF,break,Break time: Time-off.
Tuesday,6:00 PM,6:45 PM,CN C,No Duty,ND,free,Time without duty but still actively participating in the session.
Tuesday,6:45 PM,7:45 PM,CN C,Dance Support,DS,duty,A specific duty or task: Dance Support.
Tuesday,7:45 PM,10:15 PM,CN C,No Duty,ND,free,Time without duty but still actively participating in the session.
Tuesday,10:15 PM,10:30 PM,CN C,Lights Out,LO,duty,A specific duty or task: Lights Out.
Wednesday,6:00 AM,7:10 AM,CN C,No Duty,ND,free,Time without duty but still actively participating in the session.
Wednesday,7:10 AM,7:20 AM,CN C,AC/CN Meeting,AM,meeting,"A scheduled meeting for coordination, planning, or discussion."
Wednesday,7:20 AM,10:30 AM,CN C,No Duty,ND,free,Time without duty but still actively participating in the session.
Wednesday,10:30 AM,11:30 AM,CN C,CN Coordination Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Wednesday,11:30 AM,12:30 PM,CN C,Class Support,CS,duty,A specific duty or task: Class Support.
Wednesday,12:30 PM,3:30 PM,CN C,Time-off,OF,break,Break time: Time-off.
Wednesday,3:30 PM,5:00 PM,CN C,Flex Time Support,FT,duty,A specific duty or task: Flex Time Support.
Wednesday,5:00 PM,10:15 PM,CN C,No Duty,ND,free,Time without duty but still actively participating in the session.
Wednesday,10:15 PM,10:30 PM,CN C,Lights out,LO,duty,A specific duty or task: Lights out.
Thursday,6:00 AM,7:10 AM,CN C,No Duty,ND,free,Time without duty but still actively participating in the session.
Thursday,7:10 AM,7:20 AM,CN C,AC/CN Meeting,AM,meeting,"A scheduled meeting for coordination, planning, or discussion."
Thursday,7:20 AM,1:30 PM,CN C,No Duty,ND,free,Time without duty but still actively participating in the session.
Thursday,1:30 PM,3:30 PM,CN C,Time-off,OF,break,Break time: Time-off.
Thursday,3:30 PM,10:15 PM,CN C,No Duty,ND,free,Time without duty but still actively participating in the session.
Thursday,10:15 PM,10:30 PM,CN C,Lights Out,LO,duty,A specific duty or task: Lights Out.
Friday,6:00 AM,7:10 AM,CN C,No Duty,ND,free,Time without duty but still actively participating in the session.
Friday,7:10 AM,7:20 AM,CN C,AC/CN Meeting,AM,meeting,"A scheduled meeting for coordination, planning, or discussion."
Friday,7:20 AM,9:00 AM,CN C,No Duty,ND,free,Time without duty but still actively participating in the session.
Friday,9:00 AM,10:30 AM,CN C,Time-off,OF,break,Break time: Time-off.
Friday,10:30 AM,3:15 PM,CN C,No Duty,ND,free,Time without duty but still actively participating in the session.
Friday,3:15 PM,5:00 PM,CN C,Flex-Time Support,FS,duty,A specific duty or task: Flex-Time Support.
Friday,5:00 PM,8:00 PM,CN C,No Duty,ND,free,Time without duty but still actively participating in the session.
Friday,8:00 PM,8:45 PM,CN C,Time-off,OF,break,Break time: Time-off.
Friday,8:45 PM,10:15 PM,CN C,No Duty,ND,free,Time without duty but still actively participating in the session.
Friday,10:15 PM,10:30 PM,CN C,Lights Out,LO,duty,A specific duty or task: Lights Out.
Friday,10:30 PM,10:50 PM,CN C,Night Watch,NW,duty,A specific duty or task: Night Watch.
Saturday,6:30 AM,7:30 AM,CN C,No Duty,ND,free,Time without duty but still actively participating in the session.
Saturday,7:30 AM,7:45 AM,CN C,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Saturday,7:45 AM,8:30 AM,CN C,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,6:00 PM,7:00 PM,CN D,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,7:00 PM,7:50 PM,CN D,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Sunday,7:50 PM,8:00 PM,CN D,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,8:00 PM,8:15 PM,CN D,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Sunday,8:15 PM,9:15 PM,CN D,Interviews,IN,free,Time without duty but still actively participating in the session.
Monday,7:30 AM,8:30 AM,CN D,No Duty,ND,free,Time without duty but still actively participating in the session.
Monday,8:30 AM,9:15 AM,CN D,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Monday,9:15 AM,10:00 AM,CN D,Interviews,IN,free,Time without duty but still actively participating in the session.
Monday,10:00 AM,11:00 AM,CN D,No Duty,ND,free,Time without duty but still actively participating in the session.
Monday,11:00 AM,12:00 PM,CN D,Time-off,OF,break,Break time: Time-off.
Monday,12:00 PM,1:00 PM,CN D,Check-in #2,C2,duty,A specific duty or task: Check-in #2.
Monday,1:00 PM,4:30 PM,CN D,No Duty,ND,free,Time without duty but still actively participating in the session.
Monday,4:30 PM,5:30 PM,CN D,Time-off,OF,break,Break time: Time-off.
Monday,5:30 PM,10:15 PM,CN D,No Duty,ND,free,Time without duty but still actively participating in the session.
Monday,10:15 PM,10:30 PM,CN D,Lights Out,LO,duty,A specific duty or task: Lights Out.
Tuesday,6:00 AM,7:10 AM,CN D,No Duty,ND,free,Time without duty but still actively participating in the session.
Tuesday,7:10 AM,7:20 AM,CN D,AC/CN Meeting,AM,meeting,"A scheduled meeting for coordination, planning, or discussion."
Tuesday,7:20 AM,10:30 AM,CN D,No Duty,ND,free,Time without duty but still actively participating in the session.
Tuesday,10:30 AM,11:30 AM,CN D,CN Coordination Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Tuesday,11:30 AM,12:30 PM,CN D,Class Support,CS,duty,A specific duty or task: Class Support.
Tuesday,12:30 PM,3:30 PM,CN D,Time-off,OF,break,Break time: Time-off.
Tuesday,3:30 PM,5:00 PM,CN D,Flex Time Support,FT,duty,A specific duty or task: Flex Time Support.
Tuesday,5:00 PM,10:15 PM,CN D,No Duty,ND,free,Time without duty but still actively participating in the session.
Tuesday,10:15 PM,10:30 PM,CN D,Lights Out,LO,duty,A specific duty or task: Lights Out.
Wednesday,6:00 AM,7:10 AM,CN D,No Duty,ND,free,Time without duty but still actively participating in the session.
Wednesday,7:10 AM,7:20 AM,CN D,AC/CN Meeting,AM,meeting,"A scheduled meeting for coordination, planning, or discussion."
Wednesday,7:20 AM,9:00 AM,CN D,No Duty,ND,free,Time without duty but still actively participating in the session.
Wednesday,9:00 AM,10:30 AM,CN D,Time-off,OF,break,Break time: Time-off.
Wednesday,10:30 AM,11:30 AM,CN D,CN Coordination Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Wednesday,11:30 AM,12:30 PM,CN D,Class Support,CS,duty,A specific duty or task: Class Support.
Wednesday,12:30 PM,1:30 PM,CN D,No Duty,ND,free,Time without duty but still actively participating in the session.
Wednesday,1:30 PM,2:30 PM,CN D,Class Support,CS,duty,A specific duty or task: Class Support.
Wednesday,2:30 PM,3:30 PM,CN D,Time-off,OF,break,Break time: Time-off.
Wednesday,3:30 PM,10:15 PM,CN D,No Duty,ND,free,Time without duty but still actively participating in the session.
Wednesday,10:15 PM,10:30 PM,CN D,Lights out,LO,duty,A specific duty or task: Lights out.
Thursday,6:00 AM,7:10 AM,CN D,No Duty,ND,free,Time without duty but still actively participating in the session.
Thursday,7:10 AM,7:20 AM,CN D,AC/CN Meeting,AM,meeting,"A scheduled meeting for coordination, planning, or discussion."
Thursday,7:20 AM,9:45 AM,CN D,No Duty,ND,free,Time without duty but still actively participating in the session.
Thursday,9:45 AM,11:00 AM,CN D,YW Activity OR Time Off,YA,duty,A specific duty or task: YW Activity OR Time Off.
Thursday,11:00 AM,11:15 AM,CN D,No Duty,ND,free,Time without duty but still actively participating in the session.
Thursday,11:15 AM,12:30 PM,CN D,YM Activity OR Time Off,YA,duty,A specific duty or task: YM Activity OR Time Off.
Thursday,12:30 PM,1:30 PM,CN D,Time-off,OF,break,Break time: Time-off.
Thursday,1:30 PM,3:30 PM,CN D,No Duty,ND,free,Time without duty but still actively participating in the session.
Thursday,3:30 PM,5:00 PM,CN D,Flex Time Support,FT,duty,A specific duty or task: Flex Time Support.
Thursday,5:00 PM,5:50 PM,CN D,No Duty,ND,free,Time without duty but still actively participating in the session.
Thursday,5:50 PM,7:30 PM,CN D,Time-off,OF,break,Break time: Time-off.
Thursday,7:30 PM,10:15 PM,CN D,No Duty,ND,free,Time without duty but still actively participating in the session.
Thursday,10:15 PM,10:30 PM,CN D,Lights Out,LO,duty,A specific duty or task: Lights Out.
Friday,6:00 AM,7:10 AM,CN D,No Duty,ND,free,Time without duty but still actively participating in the session.
Friday,7:10 AM,7:20 AM,CN D,AC/CN Meeting,AM,meeting,"A scheduled meeting for coordination, planning, or discussion."
Friday,7:20 AM,1:30 PM,CN D,No Duty,ND,free,Time without duty but still actively participating in the session.
Friday,1:30 PM,2:45 PM,CN D,Time-off,OF,break,Break time: Time-off.
Friday,2:45 PM,6:00 PM,CN D,No Duty,ND,free,Time without duty but still actively participating in the session.
Friday,6:00 PM,7:00 PM,CN D,Dance Support,DS,duty,A specific duty or task: Dance Support.
Friday,7:00 PM,10:15 PM,CN D,No Duty,ND,free,Time without duty but still actively participating in the session.
Friday,10:15 PM,10:30 PM,CN D,Lights Out,LO,duty,A specific duty or task: Lights Out.
Friday,10:30 PM,10:50 PM,CN D,Night Watch,NW,duty,A specific duty or task: Night Watch.
Saturday,6:30 AM,7:30 AM,CN D,No Duty,ND,free,Time without duty but still actively participating in the session.
Saturday,7:30 AM,7:45 AM,CN D,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Saturday,7:45 AM,8:30 AM,CN D,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,6:00 PM,7:00 PM,CN E,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,7:00 PM,7:50 PM,CN E,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Sunday,7:50 PM,8:00 PM,CN E,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,8:00 PM,8:15 PM,CN E,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Sunday,8:15 PM,9:15 PM,CN E,Interviews,IN,free,Time without duty but still actively participating in the session.
Monday,7:30 AM,8:30 AM,CN E,No Duty,ND,free,Time without duty but still actively participating in the session.
Monday,8:30 AM,9:15 AM,CN E,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Monday,9:15 AM,10:00 AM,CN E,Interviews,IN,free,Time without duty but still actively participating in the session.
Monday,10:00 AM,11:00 AM,CN E,Check-In Set Up,CS,duty,A specific duty or task: Check-In Set Up.
Monday,11:00 AM,1:00 PM,CN E,Time-off,OF,break,Break time: Time-off.
Monday,1:00 PM,6:00 PM,CN E,No Duty,ND,free,Time without duty but still actively participating in the session.
Monday,6:00 PM,7:00 PM,CN E,Time-off,OF,break,Break time: Time-off.
Monday,7:00 PM,10:15 PM,CN E,No Duty,ND,free,Time without duty but still actively participating in the session.
Monday,10:15 PM,10:30 PM,CN E,Lights Out,LO,duty,A specific duty or task: Lights Out.
Tuesday,6:00 AM,7:10 AM,CN E,No Duty,ND,free,Time without duty but still actively participating in the session.
Tuesday,7:10 AM,7:20 AM,CN E,AC/CN Meeting,AM,meeting,"A scheduled meeting for coordination, planning, or discussion."
Tuesday,7:20 AM,10:30 AM,CN E,No Duty,ND,free,Time without duty but still actively participating in the session.
Tuesday,10:30 AM,11:30 AM,CN E,Class Support,CS,duty,A specific duty or task: Class Support.
Tuesday,11:30 AM,12:30 PM,CN E,Time-off,OF,break,Break time: Time-off.
Tuesday,12:30 PM,1:30 PM,CN E,No Duty,ND,free,Time without duty but still actively participating in the session.
Tuesday,1:30 PM,2:30 PM,CN E,CN Coordination Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Tuesday,2:30 PM,3:30 PM,CN E,Time-off,OF,break,Break time: Time-off.
Tuesday,3:30 PM,5:00 PM,CN E,No Duty,ND,free,Time without duty but still actively participating in the session.
Tuesday,5:00 PM,6:00 PM,CN E,Time-off,OF,break,Break time: Time-off.
Tuesday,6:00 PM,10:15 PM,CN E,No Duty,ND,free,Time without duty but still actively participating in the session.
Tuesday,10:15 PM,10:30 PM,CN E,Lights Out,LO,duty,A specific duty or task: Lights Out.
Wednesday,6:00 AM,7:10 AM,CN E,No Duty,ND,free,Time without duty but still actively participating in the session.
Wednesday,7:10 AM,7:20 AM,CN E,AC/CN Meeting,AM,meeting,"A scheduled meeting for coordination, planning, or discussion."
Wednesday,7:20 AM,9:00 AM,CN E,No Duty,ND,free,Time without duty but still actively participating in the session.
Wednesday,9:00 AM,11:30 AM,CN E,Time-off,OF,break,Break time: Time-off.
Wednesday,11:30 AM,12:30 PM,CN E,Class Support,CS,duty,A specific duty or task: Class Support.
Wednesday,12:30 PM,1:30 PM,CN E,No Duty,ND,free,Time without duty but still actively participating in the session.
Wednesday,1:30 PM,2:30 PM,CN E,CN Coordination Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Wednesday,2:30 PM,3:30 PM,CN E,Time-off,OF,break,Break time: Time-off.
Wednesday,3:30 PM,10:15 PM,CN E,No Duty,ND,free,Time without duty but still actively participating in the session.
